"","ActivityID","CareType","HCWType","Orientation","Surface","Date","Time","Dev.Date.Time","SurfaceCategories"
"30",1,"IV","RN","rightFacing","PaperTowel","8/3/2019",11:13:51,"8/3/2019 11:13","HygieneArea"
"31",1,"IV","RN","rightFacing","Door","8/3/2019",11:14:00,"8/3/2019 11:14","FarPatient"
"32",1,"IV","RN","rightFacing","Door","8/3/2019",11:14:50,"8/3/2019 11:14","FarPatient"
"33",1,"IV","RN","rightFacing","Patient","8/3/2019",11:15:00,"8/3/2019 11:15","Patient"
"34",1,"IV","RN","rightFacing","Door","8/3/2019",11:15:08,"8/3/2019 11:15","FarPatient"
"35",1,"IV","RN","rightFacing","Door","8/3/2019",11:16:46,"8/3/2019 11:16","FarPatient"
"36",1,"IV","RN","rightFacing","Door","8/3/2019",11:17:15,"8/3/2019 11:17","FarPatient"
"37",1,"IV","RN","rightFacing","Table","8/3/2019",11:17:20,"8/3/2019 11:17","NearPatient"
"38",1,"IV","RN","rightFacing","IV","8/3/2019",11:17:26,"8/3/2019 11:17","Equipment"
"39",1,"IV","RN","rightFacing","Waste","8/3/2019",11:17:40,"8/3/2019 11:17","HygieneArea"
"40",1,"IV","RN","rightFacing","IV","8/3/2019",11:17:54,"8/3/2019 11:17","Equipment"
"41",1,"IV","RN","rightFacing","IV","8/3/2019",11:18:05,"8/3/2019 11:18","Equipment"
"42",1,"IV","RN","rightFacing","Patient","8/3/2019",11:19:11,"8/3/2019 11:19","Patient"
"43",1,"IV","RN","rightFacing","Other","8/3/2019",11:19:24,"8/3/2019 11:19","FarPatient"
"44",1,"IV","RN","rightFacing","Door","8/3/2019",11:19:42,"8/3/2019 11:19","FarPatient"
"45",1,"IV","RN","rightFacing","Out","8/3/2019",11:19:42,"8/3/2019 11:19","Out"
"46",2,"Rounds","DR","rightFacing","AlcOutside","8/3/2019",11:24:55,"8/3/2019 11:24","HygieneArea"
"47",2,"Rounds","DR","rightFacing","In","8/3/2019",11:25:00,"8/3/2019 11:25","In"
"48",2,"Rounds","DR","rightFacing","Door","8/3/2019",11:25:09,"8/3/2019 11:25","FarPatient"
"49",2,"Rounds","DR","rightFacing","Door","8/3/2019",11:25:14,"8/3/2019 11:25","FarPatient"
"50",2,"Rounds","DR","rightFacing","Patient","8/3/2019",11:27:35,"8/3/2019 11:27","Patient"
"51",2,"Rounds","DR","rightFacing","Patient","8/3/2019",11:27:43,"8/3/2019 11:27","Patient"
"52",2,"Rounds","DR","rightFacing","Patient","8/3/2019",11:28:00,"8/3/2019 11:28","Patient"
"53",2,"Rounds","DR","rightFacing","Patient","8/3/2019",11:28:11,"8/3/2019 11:28","Patient"
"54",2,"Rounds","DR","rightFacing","Alc","8/3/2019",11:29:36,"8/3/2019 11:29","HygieneArea"
"55",2,"Rounds","DR","rightFacing","Sink","8/3/2019",11:29:37,"8/3/2019 11:29","HygieneArea"
"56",2,"Rounds","DR","rightFacing","Soap","8/3/2019",11:29:40,"8/3/2019 11:29","HygieneArea"
"57",2,"Rounds","DR","rightFacing","Sink","8/3/2019",11:29:47,"8/3/2019 11:29","HygieneArea"
"58",2,"Rounds","DR","rightFacing","PaperTowel","8/3/2019",11:29:55,"8/3/2019 11:29","HygieneArea"
"59",2,"Rounds","DR","rightFacing","Door","8/3/2019",11:29:58,"8/3/2019 11:29","FarPatient"
"60",2,"Rounds","DR","rightFacing","Out","8/3/2019",11:29:58,"8/3/2019 11:29","Out"
"61",3,"Obs","AUX","rightFacing","In","8/3/2019",11:41:38,"8/3/2019 11:41","In"
"62",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:41:38,"8/3/2019 11:41","Equipment"
"63",3,"Obs","AUX","rightFacing","Door","8/3/2019",11:41:50,"8/3/2019 11:41","FarPatient"
"64",3,"Obs","AUX","rightFacing","Door","8/3/2019",11:41:51,"8/3/2019 11:41","FarPatient"
"65",3,"Obs","AUX","rightFacing","Door","8/3/2019",11:41:57,"8/3/2019 11:41","FarPatient"
"66",3,"Obs","AUX","rightFacing","Alc","8/3/2019",11:42:00,"8/3/2019 11:42","HygieneArea"
"67",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:42:06,"8/3/2019 11:42","Equipment"
"68",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:42:09,"8/3/2019 11:42","Equipment"
"69",3,"Obs","AUX","rightFacing","Patient","8/3/2019",11:42:14,"8/3/2019 11:42","Patient"
"70",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:42:17,"8/3/2019 11:42","Equipment"
"71",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:42:20,"8/3/2019 11:42","Equipment"
"72",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:42:24,"8/3/2019 11:42","Equipment"
"73",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:42:32,"8/3/2019 11:42","Equipment"
"74",3,"Obs","AUX","rightFacing","Patient","8/3/2019",11:43:04,"8/3/2019 11:43","Patient"
"75",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:43:07,"8/3/2019 11:43","Equipment"
"76",3,"Obs","AUX","rightFacing","Patient","8/3/2019",11:43:08,"8/3/2019 11:43","Patient"
"77",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:43:10,"8/3/2019 11:43","Equipment"
"78",3,"Obs","AUX","rightFacing","Door","8/3/2019",11:43:40,"8/3/2019 11:43","FarPatient"
"79",3,"Obs","AUX","rightFacing","Other","8/3/2019",11:44:06,"8/3/2019 11:44","FarPatient"
"80",3,"Obs","AUX","rightFacing","Other","8/3/2019",11:44:51,"8/3/2019 11:44","FarPatient"
"81",3,"Obs","AUX","rightFacing","Door","8/3/2019",11:44:53,"8/3/2019 11:44","FarPatient"
"82",3,"Obs","AUX","rightFacing","Door","8/3/2019",11:44:54,"8/3/2019 11:44","FarPatient"
"83",3,"Obs","AUX","rightFacing","Alc","8/3/2019",11:45:01,"8/3/2019 11:45","HygieneArea"
"84",3,"Obs","AUX","rightFacing","Wipes","8/3/2019",11:45:06,"8/3/2019 11:45","HygieneArea"
"85",3,"Obs","AUX","rightFacing","Patient","8/3/2019",11:45:17,"8/3/2019 11:45","Patient"
"86",3,"Obs","AUX","rightFacing","Other","8/3/2019",11:45:28,"8/3/2019 11:45","FarPatient"
"87",3,"Obs","AUX","rightFacing","Other","8/3/2019",11:45:35,"8/3/2019 11:45","FarPatient"
"88",3,"Obs","AUX","rightFacing","Sink","8/3/2019",11:45:42,"8/3/2019 11:45","HygieneArea"
"89",3,"Obs","AUX","rightFacing","PaperTowel","8/3/2019",11:45:59,"8/3/2019 11:45","HygieneArea"
"90",3,"Obs","AUX","rightFacing","Alc","8/3/2019",11:46:20,"8/3/2019 11:46","HygieneArea"
"91",3,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",11:46:36,"8/3/2019 11:46","Equipment"
"92",3,"Obs","AUX","rightFacing","Door","8/3/2019",11:46:55,"8/3/2019 11:46","FarPatient"
"93",3,"Obs","AUX","rightFacing","Out","8/3/2019",11:46:55,"8/3/2019 11:46","Out"
"94",4,"Nebuliser","RN","rightFacing","In","8/3/2019",12:07:09,"8/3/2019 12:07","In"
"95",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:07:09,"8/3/2019 12:07","FarPatient"
"96",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:07:11,"8/3/2019 12:07","FarPatient"
"97",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:07:27,"8/3/2019 12:07","FarPatient"
"98",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:07:30,"8/3/2019 12:07","FarPatient"
"99",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:07:34,"8/3/2019 12:07","FarPatient"
"100",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:07:35,"8/3/2019 12:07","FarPatient"
"101",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:07:37,"8/3/2019 12:07","FarPatient"
"102",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:07:40,"8/3/2019 12:07","FarPatient"
"103",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:07:43,"8/3/2019 12:07","FarPatient"
"104",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:07:44,"8/3/2019 12:07","FarPatient"
"105",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:08:06,"8/3/2019 12:08","FarPatient"
"106",4,"Nebuliser","RN","rightFacing","Sharps","8/3/2019",12:08:11,"8/3/2019 12:08","Equipment"
"107",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:08:14,"8/3/2019 12:08","FarPatient"
"108",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:08:30,"8/3/2019 12:08","FarPatient"
"109",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:08:40,"8/3/2019 12:08","FarPatient"
"110",4,"Nebuliser","RN","rightFacing","Patient","8/3/2019",12:08:56,"8/3/2019 12:08","Patient"
"111",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:08:58,"8/3/2019 12:08","FarPatient"
"112",4,"Nebuliser","RN","rightFacing","IV","8/3/2019",12:09:02,"8/3/2019 12:09","Equipment"
"113",4,"Nebuliser","RN","rightFacing","IV","8/3/2019",12:09:06,"8/3/2019 12:09","Equipment"
"114",4,"Nebuliser","RN","rightFacing","Table","8/3/2019",12:09:17,"8/3/2019 12:09","NearPatient"
"115",4,"Nebuliser","RN","rightFacing","Table","8/3/2019",12:09:19,"8/3/2019 12:09","NearPatient"
"116",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:10:35,"8/3/2019 12:10","FarPatient"
"117",4,"Nebuliser","RN","rightFacing","Alc","8/3/2019",12:10:38,"8/3/2019 12:10","HygieneArea"
"118",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:10:44,"8/3/2019 12:10","FarPatient"
"119",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:11:39,"8/3/2019 12:11","FarPatient"
"120",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:13:13,"8/3/2019 12:13","FarPatient"
"121",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:13:13,"8/3/2019 12:13","FarPatient"
"122",4,"Nebuliser","RN","rightFacing","Other","8/3/2019",12:13:17,"8/3/2019 12:13","FarPatient"
"123",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:13:40,"8/3/2019 12:13","FarPatient"
"124",4,"Nebuliser","RN","rightFacing","Door","8/3/2019",12:13:59,"8/3/2019 12:13","FarPatient"
"125",4,"Nebuliser","RN","rightFacing","Out","8/3/2019",12:13:59,"8/3/2019 12:13","Out"
"126",5,"Rounds","DR","rightFacing","AlcOutside","8/3/2019",12:14:48,"8/3/2019 12:14","HygieneArea"
"127",5,"Rounds","DR","rightFacing","In","8/3/2019",12:14:48,"8/3/2019 12:14","In"
"128",5,"Rounds","DR","rightFacing","Door","8/3/2019",12:14:51,"8/3/2019 12:14","FarPatient"
"129",5,"Rounds","DR","rightFacing","Door","8/3/2019",12:14:59,"8/3/2019 12:14","FarPatient"
"130",5,"Rounds","DR","rightFacing","Patient","8/3/2019",12:15:06,"8/3/2019 12:15","Patient"
"131",5,"Rounds","DR","rightFacing","Patient","8/3/2019",12:15:10,"8/3/2019 12:15","Patient"
"132",5,"Rounds","DR","rightFacing","Patient","8/3/2019",12:15:14,"8/3/2019 12:15","Patient"
"133",5,"Rounds","DR","rightFacing","Patient","8/3/2019",12:15:18,"8/3/2019 12:15","Patient"
"134",5,"Rounds","DR","rightFacing","Patient","8/3/2019",12:15:22,"8/3/2019 12:15","Patient"
"135",5,"Rounds","DR","rightFacing","Patient","8/3/2019",12:15:28,"8/3/2019 12:15","Patient"
"136",5,"Rounds","DR","rightFacing","Bed","8/3/2019",12:15:29,"8/3/2019 12:15","NearPatient"
"137",5,"Rounds","DR","rightFacing","Door","8/3/2019",12:15:42,"8/3/2019 12:15","FarPatient"
"138",5,"Rounds","DR","rightFacing","Door","8/3/2019",12:15:46,"8/3/2019 12:15","FarPatient"
"139",5,"Rounds","DR","rightFacing","Door","8/3/2019",12:15:48,"8/3/2019 12:15","FarPatient"
"140",5,"Rounds","DR","rightFacing","Out","8/3/2019",12:15:48,"8/3/2019 12:15","Out"
"141",6,"Obs","AUX","rightFacing","In","8/3/2019",12:28:59,"8/3/2019 12:28","In"
"142",6,"Obs","AUX","rightFacing","Door","8/3/2019",12:28:59,"8/3/2019 12:28","FarPatient"
"143",6,"Obs","AUX","rightFacing","Door","8/3/2019",12:29:02,"8/3/2019 12:29","FarPatient"
"144",6,"Obs","AUX","rightFacing","Door","8/3/2019",12:29:07,"8/3/2019 12:29","FarPatient"
"145",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:29:10,"8/3/2019 12:29","Equipment"
"146",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:29:14,"8/3/2019 12:29","Equipment"
"147",6,"Obs","AUX","rightFacing","Patient","8/3/2019",12:29:24,"8/3/2019 12:29","Patient"
"148",6,"Obs","AUX","rightFacing","Patient","8/3/2019",12:29:29,"8/3/2019 12:29","Patient"
"149",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:29:31,"8/3/2019 12:29","Equipment"
"150",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:29:45,"8/3/2019 12:29","Equipment"
"151",6,"Obs","AUX","rightFacing","Other","8/3/2019",12:29:49,"8/3/2019 12:29","FarPatient"
"152",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:29:51,"8/3/2019 12:29","Equipment"
"153",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:29:52,"8/3/2019 12:29","Equipment"
"154",6,"Obs","AUX","rightFacing","Patient","8/3/2019",12:29:54,"8/3/2019 12:29","Patient"
"155",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:29:55,"8/3/2019 12:29","Equipment"
"156",6,"Obs","AUX","rightFacing","Patient","8/3/2019",12:30:06,"8/3/2019 12:30","Patient"
"157",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:30:10,"8/3/2019 12:30","Equipment"
"158",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:30:22,"8/3/2019 12:30","Equipment"
"159",6,"Obs","AUX","rightFacing","Patient","8/3/2019",12:30:33,"8/3/2019 12:30","Patient"
"160",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:30:37,"8/3/2019 12:30","Equipment"
"161",6,"Obs","AUX","rightFacing","Alc","8/3/2019",12:30:43,"8/3/2019 12:30","HygieneArea"
"162",6,"Obs","AUX","rightFacing","ObsTrolley","8/3/2019",12:30:46,"8/3/2019 12:30","Equipment"
"163",6,"Obs","AUX","rightFacing","Door","8/3/2019",12:30:47,"8/3/2019 12:30","FarPatient"
"164",6,"Obs","AUX","rightFacing","Door","8/3/2019",12:30:53,"8/3/2019 12:30","FarPatient"
"165",6,"Obs","AUX","rightFacing","Out","8/3/2019",12:30:53,"8/3/2019 12:30","Out"
"166",7,"IV","RN","rightFacing","In","8/3/2019",12:32:02,"8/3/2019 12:32","In"
"167",7,"IV","RN","rightFacing","Door","8/3/2019",12:32:02,"8/3/2019 12:32","FarPatient"
"168",7,"IV","RN","rightFacing","Door","8/3/2019",12:32:03,"8/3/2019 12:32","FarPatient"
"169",7,"IV","RN","rightFacing","Door","8/3/2019",12:32:05,"8/3/2019 12:32","FarPatient"
"170",7,"IV","RN","rightFacing","Patient","8/3/2019",12:32:15,"8/3/2019 12:32","Patient"
"171",7,"IV","RN","rightFacing","Tray","8/3/2019",12:32:29,"8/3/2019 12:32","Equipment"
"172",7,"IV","RN","rightFacing","Tray","8/3/2019",12:32:46,"8/3/2019 12:32","Equipment"
"173",7,"IV","RN","rightFacing","IV","8/3/2019",12:32:52,"8/3/2019 12:32","Equipment"
"174",7,"IV","RN","rightFacing","Alc","8/3/2019",12:33:34,"8/3/2019 12:33","HygieneArea"
"175",7,"IV","RN","rightFacing","Door","8/3/2019",12:33:34,"8/3/2019 12:33","FarPatient"
"176",7,"IV","RN","rightFacing","Door","8/3/2019",12:33:51,"8/3/2019 12:33","FarPatient"
"177",7,"IV","RN","rightFacing","Door","8/3/2019",12:33:53,"8/3/2019 12:33","FarPatient"
"178",7,"IV","RN","rightFacing","IV","8/3/2019",12:34:03,"8/3/2019 12:34","Equipment"
"179",7,"IV","RN","rightFacing","Patient","8/3/2019",12:34:06,"8/3/2019 12:34","Patient"
"180",7,"IV","RN","rightFacing","IV","8/3/2019",12:34:08,"8/3/2019 12:34","Equipment"
"181",7,"IV","RN","rightFacing","Tray","8/3/2019",12:34:12,"8/3/2019 12:34","Equipment"
"182",7,"IV","RN","rightFacing","Tray","8/3/2019",12:34:17,"8/3/2019 12:34","Equipment"
"183",7,"IV","RN","rightFacing","Other","8/3/2019",12:34:20,"8/3/2019 12:34","FarPatient"
"184",7,"IV","RN","rightFacing","Sink","8/3/2019",12:34:22,"8/3/2019 12:34","HygieneArea"
"185",7,"IV","RN","rightFacing","Sink","8/3/2019",12:34:30,"8/3/2019 12:34","HygieneArea"
"186",7,"IV","RN","rightFacing","PaperTowel","8/3/2019",12:34:33,"8/3/2019 12:34","HygieneArea"
"187",7,"IV","RN","rightFacing","Door","8/3/2019",12:34:35,"8/3/2019 12:34","FarPatient"
"188",7,"IV","RN","rightFacing","Out","8/3/2019",12:34:35,"8/3/2019 12:34","Out"
"189",8,"Rounds","DR","rightFacing","In","8/3/2019",12:36:43,"8/3/2019 12:36","In"
"190",8,"Rounds","DR","rightFacing","Door","8/3/2019",12:36:43,"8/3/2019 12:36","FarPatient"
"191",8,"Rounds","DR","rightFacing","Door","8/3/2019",12:36:43,"8/3/2019 12:36","FarPatient"
"192",8,"Rounds","DR","rightFacing","Door","8/3/2019",12:36:47,"8/3/2019 12:36","FarPatient"
"193",8,"Rounds","DR","rightFacing","Patient","8/3/2019",12:38:30,"8/3/2019 12:38","Patient"
"194",8,"Rounds","DR","rightFacing","Patient","8/3/2019",12:38:32,"8/3/2019 12:38","Patient"
"195",8,"Rounds","DR","rightFacing","Patient","8/3/2019",12:38:36,"8/3/2019 12:38","Patient"
"196",8,"Rounds","DR","rightFacing","Patient","8/3/2019",12:38:42,"8/3/2019 12:38","Patient"
"197",8,"Rounds","DR","rightFacing","Patient","8/3/2019",12:38:47,"8/3/2019 12:38","Patient"
"198",8,"Rounds","DR","rightFacing","Other","8/3/2019",12:39:05,"8/3/2019 12:39","FarPatient"
"199",8,"Rounds","DR","rightFacing","Door","8/3/2019",12:40:15,"8/3/2019 12:40","FarPatient"
"200",8,"Rounds","DR","rightFacing","Out","8/3/2019",12:40:15,"8/3/2019 12:40","Out"
"201",9,"Rounds","DR","rightFacing","In","8/3/2019",12:41:07,"8/3/2019 12:41","In"
"202",9,"Rounds","DR","rightFacing","Door","8/3/2019",12:41:07,"8/3/2019 12:41","FarPatient"
"203",9,"Rounds","DR","rightFacing","Door","8/3/2019",12:41:12,"8/3/2019 12:41","FarPatient"
"204",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:12,"8/3/2019 12:42","Patient"
"205",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:15,"8/3/2019 12:42","Patient"
"206",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:22,"8/3/2019 12:42","Patient"
"207",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:26,"8/3/2019 12:42","Patient"
"208",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:29,"8/3/2019 12:42","Patient"
"209",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:34,"8/3/2019 12:42","Patient"
"210",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:36,"8/3/2019 12:42","Patient"
"211",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:46,"8/3/2019 12:42","Patient"
"212",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:46,"8/3/2019 12:42","Patient"
"213",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:47,"8/3/2019 12:42","Patient"
"214",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:50,"8/3/2019 12:42","Patient"
"215",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:51,"8/3/2019 12:42","Patient"
"216",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:51,"8/3/2019 12:42","Patient"
"217",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:52,"8/3/2019 12:42","Patient"
"218",9,"Rounds","DR","rightFacing","Patient","8/3/2019",12:42:53,"8/3/2019 12:42","Patient"
"219",9,"Rounds","DR","rightFacing","Alc","8/3/2019",12:43:10,"8/3/2019 12:43","HygieneArea"
"220",9,"Rounds","DR","rightFacing","Door","8/3/2019",12:43:11,"8/3/2019 12:43","FarPatient"
"221",9,"Rounds","DR","rightFacing","Out","8/3/2019",12:43:11,"8/3/2019 12:43","Out"
"222",10,"Rounds","DR","rightFacing","AlcOutside","8/3/2019",12:44:10,"8/3/2019 12:44","HygieneArea"
"223",10,"Rounds","DR","rightFacing","In","8/3/2019",12:44:10,"8/3/2019 12:44","In"
"224",10,"Rounds","DR","rightFacing","Door","8/3/2019",12:44:11,"8/3/2019 12:44","FarPatient"
"225",10,"Rounds","DR","rightFacing","Door","8/3/2019",12:44:16,"8/3/2019 12:44","FarPatient"
"226",10,"Rounds","DR","rightFacing","IV","8/3/2019",12:44:51,"8/3/2019 12:44","Equipment"
"227",10,"Rounds","DR","rightFacing","Patient","8/3/2019",12:45:05,"8/3/2019 12:45","Patient"
"228",10,"Rounds","DR","rightFacing","Patient","8/3/2019",12:45:08,"8/3/2019 12:45","Patient"
"229",10,"Rounds","DR","rightFacing","Patient","8/3/2019",12:45:11,"8/3/2019 12:45","Patient"
"230",10,"Rounds","DR","rightFacing","Patient","8/3/2019",12:45:36,"8/3/2019 12:45","Patient"
"231",10,"Rounds","DR","rightFacing","Door","8/3/2019",12:46:00,"8/3/2019 12:46","FarPatient"
"232",10,"Rounds","DR","rightFacing","Out","8/3/2019",12:46:00,"8/3/2019 12:46","Out"
"233",11,"IV","RN","rightFacing","In","8/3/2019",12:48:13,"8/3/2019 12:48","In"
"234",11,"IV","RN","rightFacing","Door","8/3/2019",12:48:13,"8/3/2019 12:48","FarPatient"
"235",11,"IV","RN","rightFacing","Door","8/3/2019",12:48:14,"8/3/2019 12:48","FarPatient"
"236",11,"IV","RN","rightFacing","Sink","8/3/2019",12:48:24,"8/3/2019 12:48","HygieneArea"
"237",11,"IV","RN","rightFacing","Waste","8/3/2019",12:48:30,"8/3/2019 12:48","HygieneArea"
"238",11,"IV","RN","rightFacing","Soap","8/3/2019",12:48:32,"8/3/2019 12:48","HygieneArea"
"239",11,"IV","RN","rightFacing","Waste","8/3/2019",12:48:34,"8/3/2019 12:48","HygieneArea"
"240",11,"IV","RN","rightFacing","IV","8/3/2019",12:48:42,"8/3/2019 12:48","Equipment"
"241",11,"IV","RN","rightFacing","IV","8/3/2019",12:48:45,"8/3/2019 12:48","Equipment"
"242",11,"IV","RN","rightFacing","IV","8/3/2019",12:48:46,"8/3/2019 12:48","Equipment"
"243",11,"IV","RN","rightFacing","IV","8/3/2019",12:48:47,"8/3/2019 12:48","Equipment"
"244",11,"IV","RN","rightFacing","IV","8/3/2019",12:48:51,"8/3/2019 12:48","Equipment"
"245",11,"IV","RN","rightFacing","IV","8/3/2019",12:48:54,"8/3/2019 12:48","Equipment"
"246",11,"IV","RN","rightFacing","Patient","8/3/2019",12:49:01,"8/3/2019 12:49","Patient"
"247",11,"IV","RN","rightFacing","Patient","8/3/2019",12:49:02,"8/3/2019 12:49","Patient"
"248",11,"IV","RN","rightFacing","IV","8/3/2019",12:49:05,"8/3/2019 12:49","Equipment"
"249",11,"IV","RN","rightFacing","Patient","8/3/2019",12:49:08,"8/3/2019 12:49","Patient"
"250",11,"IV","RN","rightFacing","IV","8/3/2019",12:49:15,"8/3/2019 12:49","Equipment"
"251",11,"IV","RN","rightFacing","IV","8/3/2019",12:49:18,"8/3/2019 12:49","Equipment"
"252",11,"IV","RN","rightFacing","IV","8/3/2019",12:49:23,"8/3/2019 12:49","Equipment"
"253",11,"IV","RN","rightFacing","Patient","8/3/2019",12:49:25,"8/3/2019 12:49","Patient"
"254",11,"IV","RN","rightFacing","IV","8/3/2019",12:49:31,"8/3/2019 12:49","Equipment"
