"Surface" "Phase" "id" "value" "Time" "Cleaning"
"4" 4 460 1.25 -1 "Disinfectant"
"1" 4 461 1.25 -1 "Disinfectant"
"2" 4 462 1.25 -1 "Disinfectant"
"3" 4 463 1.25 -1 "Disinfectant"
"4" 4 464 1.25 -1 "Disinfectant"
"1" 4 465 26 -1 "Disinfectant"
"2" 4 466 1.25 -1 "Disinfectant"
"3" 4 467 7.25 -1 "Disinfectant"
"4" 4 468 1.25 -1 "Disinfectant"
"1" 4 469 7.25 -1 "Disinfectant"
"2" 4 470 1.25 -1 "Disinfectant"
"3" 4 471 26 -1 "Disinfectant"
"4" 4 472 1.25 -1 "Disinfectant"
"1" 4 473 7.25 -1 "Disinfectant"
"2" 4 474 0 -1 "Disinfectant"
"3" 4 475 1.25 -1 "Disinfectant"
"4" 4 476 1.25 -1 "Disinfectant"
"1" 4 477 1.25 -1 "Disinfectant"
"2" 4 478 1.25 -1 "Disinfectant"
"3" 4 479 1.25 -1 "Disinfectant"
"4" 4 480 1.25 -1 "Disinfectant"
"1" 4 361 0 1 "Disinfectant"
"2" 4 362 1.25 1 "Disinfectant"
"3" 4 363 1.25 1 "Disinfectant"
"4" 4 364 1.25 1 "Disinfectant"
"1" 4 365 0 1 "Disinfectant"
"2" 4 366 0 1 "Disinfectant"
"3" 4 367 1.25 1 "Disinfectant"
"4" 4 368 0 1 "Disinfectant"
"1" 4 369 1.25 1 "Disinfectant"
"2" 4 370 1.25 1 "Disinfectant"
"3" 4 371 26 1 "Disinfectant"
"4" 4 372 1.25 1 "Disinfectant"
"1" 4 373 1.25 1 "Disinfectant"
"2" 4 374 0 1 "Disinfectant"
"3" 4 375 7.25 1 "Disinfectant"
"4" 4 376 0 1 "Disinfectant"
"1" 4 377 1.25 1 "Disinfectant"
"2" 4 378 0 1 "Disinfectant"
"3" 4 379 1.25 1 "Disinfectant"
"4" 4 380 0 1 "Disinfectant"
"1" 4 381 0 1 "Disinfectant"
"2" 4 382 1.25 1 "Disinfectant"
"3" 4 383 0 1 "Disinfectant"
"4" 4 384 1.25 1 "Disinfectant"
"1" 4 385 0 1 "Disinfectant"
"2" 4 386 7.25 1 "Disinfectant"
"3" 4 387 1.25 1 "Disinfectant"
"4" 4 388 1.25 1 "Disinfectant"
"1" 4 389 0 1 "Disinfectant"
"2" 4 390 0 1 "Disinfectant"
"3" 4 391 1.25 1 "Disinfectant"
"4" 4 392 1.25 1 "Disinfectant"
"1" 4 393 0 1 "Disinfectant"
"2" 4 394 0 1 "Disinfectant"
"3" 4 395 1.25 1 "Disinfectant"
"4" 4 396 1.25 1 "Disinfectant"
"1" 4 397 0 1 "Disinfectant"
"2" 4 398 0 1 "Disinfectant"
"3" 4 399 0 1 "Disinfectant"
"4" 4 400 0 1 "Disinfectant"
"1" 4 401 1.25 1 "Disinfectant"
"2" 4 402 1.25 1 "Disinfectant"
"3" 4 403 0 1 "Disinfectant"
"4" 4 404 0 1 "Disinfectant"
"1" 4 405 1.25 1 "Disinfectant"
"2" 4 406 1.25 1 "Disinfectant"
"3" 4 407 1.25 1 "Disinfectant"
"4" 4 408 1.25 1 "Disinfectant"
"1" 4 409 0 1 "Disinfectant"
"2" 4 410 0 1 "Disinfectant"
"3" 4 411 1.25 1 "Disinfectant"
"4" 4 412 1.25 1 "Disinfectant"
"1" 4 413 0 1 "Disinfectant"
"2" 4 414 0 1 "Disinfectant"
"3" 4 415 0 1 "Disinfectant"
"4" 4 416 0 1 "Disinfectant"
"1" 4 417 0 1 "Disinfectant"
"2" 4 418 1.25 1 "Disinfectant"
"3" 4 419 1.25 1 "Disinfectant"
"4" 4 420 0 1 "Disinfectant"
"1" 4 421 0 1 "Disinfectant"
"2" 4 422 0 1 "Disinfectant"
"3" 4 423 1.25 1 "Disinfectant"
"4" 4 424 0 1 "Disinfectant"
"1" 4 425 0 1 "Disinfectant"
"2" 4 426 1.25 1 "Disinfectant"
"3" 4 427 1.25 1 "Disinfectant"
"4" 4 428 0 1 "Disinfectant"
"1" 4 429 1.25 1 "Disinfectant"
"2" 4 430 0 1 "Disinfectant"
"3" 4 431 26 1 "Disinfectant"
"4" 4 432 7.25 1 "Disinfectant"
"1" 4 433 0 1 "Disinfectant"
"2" 4 434 0 1 "Disinfectant"
"3" 4 435 1.25 1 "Disinfectant"
"4" 4 436 0 1 "Disinfectant"
"1" 4 437 0 1 "Disinfectant"
"2" 4 438 0 1 "Disinfectant"
"3" 4 439 1.25 1 "Disinfectant"
"4" 4 440 0 1 "Disinfectant"
"1" 4 441 0 1 "Disinfectant"
"2" 4 442 1.25 1 "Disinfectant"
"3" 4 443 7.25 1 "Disinfectant"
"4" 4 444 0 1 "Disinfectant"
"1" 4 445 0 1 "Disinfectant"
"2" 4 446 0 1 "Disinfectant"
"3" 4 447 1.25 1 "Disinfectant"
"4" 4 448 0 1 "Disinfectant"
"1" 4 449 0 1 "Disinfectant"
"2" 4 450 1.25 1 "Disinfectant"
"3" 4 451 1.25 1 "Disinfectant"
"4" 4 452 0 1 "Disinfectant"
"1" 4 453 0 1 "Disinfectant"
"2" 4 454 1.25 1 "Disinfectant"
"3" 4 455 26 1 "Disinfectant"
"4" 4 456 1.25 1 "Disinfectant"
"1" 4 457 1.25 1 "Disinfectant"
"2" 4 458 0 1 "Disinfectant"
"3" 4 459 1.25 1 "Disinfectant"
"4" 4 460 0 1 "Disinfectant"
"1" 4 461 0 1 "Disinfectant"
"2" 4 462 0 1 "Disinfectant"
"3" 4 463 1.25 1 "Disinfectant"
"4" 4 464 0 1 "Disinfectant"
"1" 4 465 0 1 "Disinfectant"
"2" 4 466 1.25 1 "Disinfectant"
"3" 4 467 1.25 1 "Disinfectant"
"4" 4 468 0 1 "Disinfectant"
"1" 4 469 1.25 1 "Disinfectant"
"2" 4 470 1.25 1 "Disinfectant"
"3" 4 471 1.25 1 "Disinfectant"
"4" 4 472 0 1 "Disinfectant"
"1" 4 473 0 1 "Disinfectant"
"2" 4 474 0 1 "Disinfectant"
"3" 4 475 7.25 1 "Disinfectant"
"4" 4 476 0 1 "Disinfectant"
"1" 4 477 0 1 "Disinfectant"
"2" 4 478 1.25 1 "Disinfectant"
"3" 4 479 1.25 1 "Disinfectant"
"4" 4 480 1.25 1 "Disinfectant"
"1" 4 361 1.25 2 "Disinfectant"
"2" 4 362 0 2 "Disinfectant"
"3" 4 363 1.25 2 "Disinfectant"
"4" 4 364 1.25 2 "Disinfectant"
"1" 4 365 1.25 2 "Disinfectant"
"2" 4 366 1.25 2 "Disinfectant"
"3" 4 367 1.25 2 "Disinfectant"
"4" 4 368 0 2 "Disinfectant"
"1" 4 369 1.25 2 "Disinfectant"
"2" 4 370 1.25 2 "Disinfectant"
"3" 4 371 1.25 2 "Disinfectant"
"4" 4 372 1.25 2 "Disinfectant"
"1" 4 373 0 2 "Disinfectant"
"2" 4 374 1.25 2 "Disinfectant"
"3" 4 375 1.25 2 "Disinfectant"
"4" 4 376 1.25 2 "Disinfectant"
"1" 4 377 0 2 "Disinfectant"
"2" 4 378 1.25 2 "Disinfectant"
"3" 4 379 1.25 2 "Disinfectant"
"4" 4 380 0 2 "Disinfectant"
"1" 4 381 0 2 "Disinfectant"
"2" 4 382 0 2 "Disinfectant"
"3" 4 383 1.25 2 "Disinfectant"
"4" 4 384 1.25 2 "Disinfectant"
"1" 4 385 0 2 "Disinfectant"
"2" 4 386 7.25 2 "Disinfectant"
"3" 4 387 1.25 2 "Disinfectant"
"4" 4 388 1.25 2 "Disinfectant"
"1" 4 389 1.25 2 "Disinfectant"
"2" 4 390 0 2 "Disinfectant"
"3" 4 391 1.25 2 "Disinfectant"
"4" 4 392 0 2 "Disinfectant"
"1" 4 393 1.25 2 "Disinfectant"
"2" 4 394 1.25 2 "Disinfectant"
"3" 4 395 1.25 2 "Disinfectant"
"4" 4 396 1.25 2 "Disinfectant"
"1" 4 397 0 2 "Disinfectant"
"2" 4 398 0 2 "Disinfectant"
"3" 4 399 0 2 "Disinfectant"
"4" 4 400 1.25 2 "Disinfectant"
"1" 4 401 1.25 2 "Disinfectant"
"2" 4 402 0 2 "Disinfectant"
"3" 4 403 1.25 2 "Disinfectant"
"4" 4 404 1.25 2 "Disinfectant"
"1" 4 405 1.25 2 "Disinfectant"
"2" 4 406 1.25 2 "Disinfectant"
"3" 4 407 7.25 2 "Disinfectant"
"4" 4 408 1.25 2 "Disinfectant"
"1" 4 409 1.25 2 "Disinfectant"
"2" 4 410 1.25 2 "Disinfectant"
"3" 4 411 7.25 2 "Disinfectant"
"4" 4 412 7.25 2 "Disinfectant"
"1" 4 413 1.25 2 "Disinfectant"
"2" 4 414 1.25 2 "Disinfectant"
"3" 4 415 1.25 2 "Disinfectant"
"4" 4 416 1.25 2 "Disinfectant"
"1" 4 417 1.25 2 "Disinfectant"
"2" 4 418 0 2 "Disinfectant"
"3" 4 419 7.25 2 "Disinfectant"
"4" 4 420 0 2 "Disinfectant"
"1" 4 421 1.25 2 "Disinfectant"
"2" 4 422 1.25 2 "Disinfectant"
"3" 4 423 1.25 2 "Disinfectant"
"4" 4 424 0 2 "Disinfectant"
"1" 4 425 0 2 "Disinfectant"
"2" 4 426 0 2 "Disinfectant"
"3" 4 427 7.25 2 "Disinfectant"
"4" 4 428 1.25 2 "Disinfectant"
"1" 4 429 0 2 "Disinfectant"
"2" 4 430 0 2 "Disinfectant"
"3" 4 431 26 2 "Disinfectant"
"4" 4 432 1.25 2 "Disinfectant"
"1" 4 433 1.25 2 "Disinfectant"
"2" 4 434 0 2 "Disinfectant"
"3" 4 435 0 2 "Disinfectant"
"4" 4 436 0 2 "Disinfectant"
"1" 4 437 1.25 2 "Disinfectant"
"2" 4 438 0 2 "Disinfectant"
"3" 4 439 1.25 2 "Disinfectant"
"4" 4 440 1.25 2 "Disinfectant"
"1" 4 441 1.25 2 "Disinfectant"
"2" 4 442 26 2 "Disinfectant"
"3" 4 443 1.25 2 "Disinfectant"
"4" 4 444 1.25 2 "Disinfectant"
"1" 4 445 1.25 2 "Disinfectant"
"2" 4 446 0 2 "Disinfectant"
"3" 4 447 7.25 2 "Disinfectant"
"4" 4 448 1.25 2 "Disinfectant"
"1" 4 449 1.25 2 "Disinfectant"
"2" 4 450 1.25 2 "Disinfectant"
"3" 4 451 1.25 2 "Disinfectant"
"4" 4 452 1.25 2 "Disinfectant"
"1" 4 453 1.25 2 "Disinfectant"
"2" 4 454 1.25 2 "Disinfectant"
"3" 4 455 7.25 2 "Disinfectant"
"4" 4 456 0 2 "Disinfectant"
"1" 4 457 1.25 2 "Disinfectant"
"2" 4 458 0 2 "Disinfectant"
"3" 4 459 1.25 2 "Disinfectant"
"4" 4 460 0 2 "Disinfectant"
"1" 4 461 1.25 2 "Disinfectant"
"2" 4 462 1.25 2 "Disinfectant"
"3" 4 463 1.25 2 "Disinfectant"
"4" 4 464 1.25 2 "Disinfectant"
"1" 4 465 0 2 "Disinfectant"
"2" 4 466 0 2 "Disinfectant"
"3" 4 467 1.25 2 "Disinfectant"
"4" 4 468 0 2 "Disinfectant"
"1" 4 469 0 2 "Disinfectant"
"2" 4 470 1.25 2 "Disinfectant"
"3" 4 471 1.25 2 "Disinfectant"
"4" 4 472 1.25 2 "Disinfectant"
"1" 4 473 1.25 2 "Disinfectant"
"2" 4 474 0 2 "Disinfectant"
"3" 4 475 7.25 2 "Disinfectant"
"4" 4 476 0 2 "Disinfectant"
"1" 4 477 1.25 2 "Disinfectant"
"2" 4 478 1.25 2 "Disinfectant"
"3" 4 479 0 2 "Disinfectant"
"4" 4 480 0 2 "Disinfectant"
"1" 4 361 1.25 4 "Disinfectant"
"2" 4 362 1.25 4 "Disinfectant"
"3" 4 363 1.25 4 "Disinfectant"
"4" 4 364 1.25 4 "Disinfectant"
"1" 4 365 1.25 4 "Disinfectant"
"2" 4 366 0 4 "Disinfectant"
"3" 4 367 1.25 4 "Disinfectant"
"4" 4 368 1.25 4 "Disinfectant"
"1" 4 369 1.25 4 "Disinfectant"
"2" 4 370 1.25 4 "Disinfectant"
"3" 4 371 1.25 4 "Disinfectant"
"4" 4 372 1.25 4 "Disinfectant"
"1" 4 373 1.25 4 "Disinfectant"
"2" 4 374 1.25 4 "Disinfectant"
"3" 4 375 26 4 "Disinfectant"
"4" 4 376 1.25 4 "Disinfectant"
"1" 4 377 1.25 4 "Disinfectant"
"2" 4 378 0 4 "Disinfectant"
"3" 4 379 1.25 4 "Disinfectant"
"4" 4 380 1.25 4 "Disinfectant"
"1" 4 381 1.25 4 "Disinfectant"
"2" 4 382 1.25 4 "Disinfectant"
"3" 4 383 1.25 4 "Disinfectant"
"4" 4 384 1.25 4 "Disinfectant"
"1" 4 385 1.25 4 "Disinfectant"
"2" 4 386 1.25 4 "Disinfectant"
"3" 4 387 1.25 4 "Disinfectant"
"4" 4 388 1.25 4 "Disinfectant"
"1" 4 389 1.25 4 "Disinfectant"
"2" 4 390 1.25 4 "Disinfectant"
"3" 4 391 1.25 4 "Disinfectant"
"4" 4 392 0 4 "Disinfectant"
"1" 4 393 1.25 4 "Disinfectant"
"2" 4 394 1.25 4 "Disinfectant"
"3" 4 395 1.25 4 "Disinfectant"
"4" 4 396 1.25 4 "Disinfectant"
"1" 4 397 1.25 4 "Disinfectant"
"2" 4 398 1.25 4 "Disinfectant"
"3" 4 399 1.25 4 "Disinfectant"
"4" 4 400 0 4 "Disinfectant"
"1" 4 401 1.25 4 "Disinfectant"
"2" 4 402 1.25 4 "Disinfectant"
"3" 4 403 1.25 4 "Disinfectant"
"4" 4 404 1.25 4 "Disinfectant"
"1" 4 405 1.25 4 "Disinfectant"
"2" 4 406 1.25 4 "Disinfectant"
"3" 4 407 7.25 4 "Disinfectant"
"4" 4 408 0 4 "Disinfectant"
"1" 4 409 1.25 4 "Disinfectant"
"2" 4 410 1.25 4 "Disinfectant"
"3" 4 411 1.25 4 "Disinfectant"
"4" 4 412 1.25 4 "Disinfectant"
"1" 4 413 1.25 4 "Disinfectant"
"2" 4 414 1.25 4 "Disinfectant"
"3" 4 415 1.25 4 "Disinfectant"
"4" 4 416 0 4 "Disinfectant"
"1" 4 417 1.25 4 "Disinfectant"
"2" 4 418 1.25 4 "Disinfectant"
"3" 4 419 1.25 4 "Disinfectant"
"4" 4 420 1.25 4 "Disinfectant"
"1" 4 421 0 4 "Disinfectant"
"2" 4 422 1.25 4 "Disinfectant"
"3" 4 423 1.25 4 "Disinfectant"
"4" 4 424 0 4 "Disinfectant"
"1" 4 425 1.25 4 "Disinfectant"
"2" 4 426 0 4 "Disinfectant"
"3" 4 427 1.25 4 "Disinfectant"
"4" 4 428 1.25 4 "Disinfectant"
"1" 4 429 1.25 4 "Disinfectant"
"2" 4 430 1.25 4 "Disinfectant"
"3" 4 431 26 4 "Disinfectant"
"4" 4 432 1.25 4 "Disinfectant"
"1" 4 433 0 4 "Disinfectant"
"2" 4 434 0 4 "Disinfectant"
"3" 4 435 0 4 "Disinfectant"
"4" 4 436 1.25 4 "Disinfectant"
"1" 4 437 1.25 4 "Disinfectant"
"2" 4 438 0 4 "Disinfectant"
"3" 4 439 1.25 4 "Disinfectant"
"4" 4 440 1.25 4 "Disinfectant"
"1" 4 441 1.25 4 "Disinfectant"
"2" 4 442 0 4 "Disinfectant"
"3" 4 443 26 4 "Disinfectant"
"4" 4 444 1.25 4 "Disinfectant"
"1" 4 445 1.25 4 "Disinfectant"
"2" 4 446 1.25 4 "Disinfectant"
"3" 4 447 1.25 4 "Disinfectant"
"4" 4 448 1.25 4 "Disinfectant"
"1" 4 449 1.25 4 "Disinfectant"
"2" 4 450 1.25 4 "Disinfectant"
"3" 4 451 1.25 4 "Disinfectant"
"4" 4 452 1.25 4 "Disinfectant"
"1" 4 453 1.25 4 "Disinfectant"
"2" 4 454 0 4 "Disinfectant"
"3" 4 455 7.25 4 "Disinfectant"
"4" 4 456 1.25 4 "Disinfectant"
"1" 4 457 1.25 4 "Disinfectant"
"2" 4 458 1.25 4 "Disinfectant"
"3" 4 459 7.25 4 "Disinfectant"
"4" 4 460 1.25 4 "Disinfectant"
"1" 4 461 1.25 4 "Disinfectant"
"2" 4 462 1.25 4 "Disinfectant"
"3" 4 463 1.25 4 "Disinfectant"
"4" 4 464 1.25 4 "Disinfectant"
"1" 4 465 1.25 4 "Disinfectant"
"2" 4 466 1.25 4 "Disinfectant"
"3" 4 467 1.25 4 "Disinfectant"
"4" 4 468 1.25 4 "Disinfectant"
"1" 4 469 1.25 4 "Disinfectant"
"2" 4 470 1.25 4 "Disinfectant"
"3" 4 471 1.25 4 "Disinfectant"
"4" 4 472 1.25 4 "Disinfectant"
"1" 4 473 1.25 4 "Disinfectant"
"2" 4 474 1.25 4 "Disinfectant"
"3" 4 475 7.25 4 "Disinfectant"
"4" 4 476 1.25 4 "Disinfectant"
"1" 4 477 1.25 4 "Disinfectant"
"2" 4 478 1.25 4 "Disinfectant"
"3" 4 479 7.25 4 "Disinfectant"
"4" 4 480 1.25 4 "Disinfectant"
"1" 4 361 1.25 8 "Disinfectant"
"2" 4 362 1.25 8 "Disinfectant"
"3" 4 363 7.25 8 "Disinfectant"
"4" 4 364 1.25 8 "Disinfectant"
"1" 4 365 1.25 8 "Disinfectant"
"2" 4 366 1.25 8 "Disinfectant"
"3" 4 367 1.25 8 "Disinfectant"
"4" 4 368 1.25 8 "Disinfectant"
"1" 4 369 1.25 8 "Disinfectant"
"2" 4 370 1.25 8 "Disinfectant"
"3" 4 371 1.25 8 "Disinfectant"
"4" 4 372 1.25 8 "Disinfectant"
"1" 4 373 1.25 8 "Disinfectant"
"2" 4 374 1.25 8 "Disinfectant"
"3" 4 375 26 8 "Disinfectant"
"4" 4 376 1.25 8 "Disinfectant"
"1" 4 377 1.25 8 "Disinfectant"
"2" 4 378 7.25 8 "Disinfectant"
"3" 4 379 1.25 8 "Disinfectant"
"4" 4 380 1.25 8 "Disinfectant"
"1" 4 381 1.25 8 "Disinfectant"
"2" 4 382 1.25 8 "Disinfectant"
"3" 4 383 1.25 8 "Disinfectant"
"4" 4 384 1.25 8 "Disinfectant"
"1" 4 385 1.25 8 "Disinfectant"
"2" 4 386 1.25 8 "Disinfectant"
"3" 4 387 1.25 8 "Disinfectant"
"4" 4 388 1.25 8 "Disinfectant"
"1" 4 389 1.25 8 "Disinfectant"
"2" 4 390 1.25 8 "Disinfectant"
"3" 4 391 1.25 8 "Disinfectant"
"4" 4 392 1.25 8 "Disinfectant"
"1" 4 393 1.25 8 "Disinfectant"
"2" 4 394 1.25 8 "Disinfectant"
"3" 4 395 1.25 8 "Disinfectant"
"4" 4 396 1.25 8 "Disinfectant"
"1" 4 397 1.25 8 "Disinfectant"
"2" 4 398 1.25 8 "Disinfectant"
"3" 4 399 1.25 8 "Disinfectant"
"4" 4 400 0 8 "Disinfectant"
"1" 4 401 1.25 8 "Disinfectant"
"2" 4 402 1.25 8 "Disinfectant"
"3" 4 403 1.25 8 "Disinfectant"
"4" 4 404 1.25 8 "Disinfectant"
"1" 4 405 1.25 8 "Disinfectant"
"2" 4 406 1.25 8 "Disinfectant"
"3" 4 407 1.25 8 "Disinfectant"
"4" 4 408 0 8 "Disinfectant"
"1" 4 409 1.25 8 "Disinfectant"
"2" 4 410 1.25 8 "Disinfectant"
"3" 4 411 1.25 8 "Disinfectant"
"4" 4 412 1.25 8 "Disinfectant"
"1" 4 413 1.25 8 "Disinfectant"
"2" 4 414 1.25 8 "Disinfectant"
"3" 4 415 1.25 8 "Disinfectant"
"4" 4 416 1.25 8 "Disinfectant"
"1" 4 417 1.25 8 "Disinfectant"
"2" 4 418 1.25 8 "Disinfectant"
"3" 4 419 1.25 8 "Disinfectant"
"4" 4 420 1.25 8 "Disinfectant"
"1" 4 421 1.25 8 "Disinfectant"
"2" 4 422 1.25 8 "Disinfectant"
"3" 4 423 1.25 8 "Disinfectant"
"4" 4 424 1.25 8 "Disinfectant"
"1" 4 425 1.25 8 "Disinfectant"
"2" 4 426 1.25 8 "Disinfectant"
"3" 4 427 1.25 8 "Disinfectant"
"4" 4 428 1.25 8 "Disinfectant"
"1" 4 429 1.25 8 "Disinfectant"
"2" 4 430 1.25 8 "Disinfectant"
"3" 4 431 7.25 8 "Disinfectant"
"4" 4 432 1.25 8 "Disinfectant"
"1" 4 433 1.25 8 "Disinfectant"
"2" 4 434 1.25 8 "Disinfectant"
"3" 4 435 1.25 8 "Disinfectant"
"4" 4 436 0 8 "Disinfectant"
"1" 4 437 1.25 8 "Disinfectant"
"2" 4 438 1.25 8 "Disinfectant"
"3" 4 439 1.25 8 "Disinfectant"
"4" 4 440 1.25 8 "Disinfectant"
"1" 4 441 1.25 8 "Disinfectant"
"2" 4 442 1.25 8 "Disinfectant"
"3" 4 443 7.25 8 "Disinfectant"
"4" 4 444 1.25 8 "Disinfectant"
"1" 4 445 1.25 8 "Disinfectant"
"2" 4 446 1.25 8 "Disinfectant"
"3" 4 447 1.25 8 "Disinfectant"
"4" 4 448 1.25 8 "Disinfectant"
"1" 4 449 1.25 8 "Disinfectant"
"2" 4 450 1.25 8 "Disinfectant"
"3" 4 451 7.25 8 "Disinfectant"
"4" 4 452 1.25 8 "Disinfectant"
"1" 4 453 1.25 8 "Disinfectant"
"2" 4 454 1.25 8 "Disinfectant"
"3" 4 455 1.25 8 "Disinfectant"
"4" 4 456 1.25 8 "Disinfectant"
"1" 4 457 1.25 8 "Disinfectant"
"2" 4 458 0 8 "Disinfectant"
"3" 4 459 1.25 8 "Disinfectant"
"4" 4 460 0 8 "Disinfectant"
"1" 4 461 1.25 8 "Disinfectant"
"2" 4 462 1.25 8 "Disinfectant"
"3" 4 463 1.25 8 "Disinfectant"
"4" 4 464 7.25 8 "Disinfectant"
"1" 4 465 1.25 8 "Disinfectant"
"2" 4 466 1.25 8 "Disinfectant"
"3" 4 467 1.25 8 "Disinfectant"
"4" 4 468 1.25 8 "Disinfectant"
"1" 4 469 1.25 8 "Disinfectant"
"2" 4 470 1.25 8 "Disinfectant"
"3" 4 471 1.25 8 "Disinfectant"
"4" 4 472 1.25 8 "Disinfectant"
"1" 4 473 1.25 8 "Disinfectant"
"2" 4 474 1.25 8 "Disinfectant"
"3" 4 475 1.25 8 "Disinfectant"
"4" 4 476 1.25 8 "Disinfectant"
"1" 4 477 1.25 8 "Disinfectant"
"2" 4 478 7.25 8 "Disinfectant"
"3" 4 479 1.25 8 "Disinfectant"
"4" 4 480 1.25 8 "Disinfectant"
"1" 4 361 7.25 12 "Disinfectant"
"2" 4 362 1.25 12 "Disinfectant"
"3" 4 363 1.25 12 "Disinfectant"
"4" 4 364 1.25 12 "Disinfectant"
"1" 4 365 1.25 12 "Disinfectant"
"2" 4 366 1.25 12 "Disinfectant"
"3" 4 367 1.25 12 "Disinfectant"
"4" 4 368 1.25 12 "Disinfectant"
"1" 4 369 1.25 12 "Disinfectant"
"2" 4 370 1.25 12 "Disinfectant"
"3" 4 371 1.25 12 "Disinfectant"
"4" 4 372 1.25 12 "Disinfectant"
